성,이름,영문명,주민등록번호,주소,전화번호
김,기연,kim kiyeon,700328-1478345, 강서구 공항로811,010-1973-8735
설,종수,seol jongsoo,950812-1345972, 강서구 대저중앙로309,010-5972-6233
김,영일,kim youngil,661128-1487234, 강서구 상덕로 52,010-4971-6569
한,상일,han sangil,051222-3747234, 기장군 기장읍 연화1길,010-6721-2959
백,수민,baek soomin,030321-4972944, 기장군 기장읍 차성로,010-7722-2995
영웅,재준,youngwoong jaejun,821120-2382747, 기장군 기장읍 기장해안로,010-5721-2934
현,빈,hyun bin,650322-2395634, 남구 지게골로 7,010-1632-0749
장,한준,jang hanjun,970402-1626816, 동래구 온천장로107,010-2553-4012
유,수영,yoo sooyoung,080305-4323930, 동래구 동래로116,010-8555-2464
채,시내,chae sinae,040522-3967845, 북구 효열로 25,010-7361-4222
